user_id,GB_12,loan_amount,PP_Average_Current_DBT,PP_Avg_Curr_Cmpny_DBT_Ind_DBT,PP_Worst_Comp_DBT_Ind_DBT_In_Lst_12M,Avg_No_Of_DBT_0_1000,DBT_most_recent_month,Num_unpaid_accts_in_past_year,Num_Of_Prev_Searches_last_3M,Num_Of_Prev_Searches_last_6M,Num_Of_Prev_Searches_last_12M,Num_Of_Meeting_Of_Creditors,Tot_Fixed_Assets_As_Pct_Of_Tot_Assets,Curr_Liab_As_Pct_Of_Tot_Assets,Capital_Employed_As_Pct_Of_Tot_Assets,Equity_Gearing,G3_Dir_Consent_FullCAIS_ConsCommDelphi_score,submit_profit_after_tax1,calc_profit_after_tax1,submit_profit_after_tax2,calc_profit_after_tax2,Score_1_SCORE,Num_of_active_SHARE_recs,Num_of_all_SHARE_accts,Num_of_active_SHARE_accts,Total_value_of_active_accts,payment_status_less_2_3M,payment_status_less_2_12M,payment_status_less_2_24M,payment_status_less_1_3M,payment_status_less_1_12M,payment_status_less_1_24M,payment_status_0_3M,payment_status_0_12M,payment_status_0_24M,Total_value_accts_in_sector2,Total_bals_active_accts,Total_limits_rev_acct_active,Mthly_rpymt_actv_fxd_term_accts,Value_actv_fxd_term_accts,Num_pymt_status_3plus_48_updates,curr_bal_to_Annual_Income,Curr_bal_rev_crd_to_curr_limits,bal_rev_crd_to_curr_limits_3M,bal_rev_crd_to_curr_limits_6M,Num_Rev_Acct_util_ge75,Unemployment_Among_25_39,Avg_num_of_Court_Judgments,Credit_Card_Repayment_Amt,Num_Cash_Advances_3M
125443,0,30000,0,-26,-6,0,0,0,11,15,21,0,19.9,96.1,3.9,3.9,27,6686,6686,21807,21807,535,7,13,7,45933,7,7,7,7,7,6,7,7,6,NA,45933,8250,873,38147,0,114,94,91,93,2,19.05972,0.15,300,0
125591,0,NA,20,-8,3,20,20,0,3,8,21,0,86.2,23,77,28.2,16,106112,106112,42169,42169,619,3,6,3,200536,3,3,3,3,3,2,3,3,2,198545,200536,NA,1245,200536,0,2,NA,NA,NA,NA,36.65689,0.22,NA,NA
125780,0,NA,0,-26,-24,0,0,0,8,23,26,0,44.4,21.9,78.1,23.5,86,20974,20974,90,90,519,3,15,3,1016,3,3,3,3,3,3,3,3,3,NA,1016,0,NA,NA,1,3,NA,NA,NA,0,60.34483,0.16,0,0
125850,0,NA,0,-34,-32,0,0,0,1,3,7,0,0,61,39,12.8,78,36073,36073,6820,6820,575,11,15,11,219422,11,11,11,11,11,11,11,10,10,196413,219422,31650,820,196413,0,115,72,86,86,3,41.15226,0.21,617,0
125852,0,NA,0,-20,-19,0,0,0,5,8,18,0,4.8,86.2,13.8,13.8,25,51400,51400,1009,1009,572,8,10,8,120943,8,8,8,8,8,7,8,7,5,113827,120943,5500,839,115318,0,9,101,100,100,2,29.90431,0.02,133,0
126340,0,NA,0,-26,-24,0,0,0,3,4,13,0,70.4,26.3,73.7,-0.4,15,-3247.86,-3247.86,12462,12462,573,7,11,7,351342,7,7,7,7,7,7,7,7,7,268177,351342,77600,1091,271925,0,166,91,96,95,4,5.48847,0,4500,0
944,0,12500,0,-19,-18,0,0,0,0,4,5,0,41.1,69.8,30.2,25.7,92,557.28,557.28,4250,4250,632,8,20,8,280451,8,8,8,8,8,8,8,6,5,270893,280451,24300,1017,274485,0,12,21,8,34,0,6.15764,0.05,1887,2
1095,0,50000,24,6,6,0,24,0,6,12,18,0,92.6,36.2,63.8,16.4,40,26019,26019,6871,6871,553,4,10,4,34710,4,4,4,2,2,2,2,2,1,0,34710,21600,283,17468,0,115,78,50,98,2,0,0.04,440,2
4499,0,40000,38,19,19,38,38,0,0,0,1,0,2.2,71.5,28.5,0.1,15,62052.16,62052.16,15453,15453,537,8,8,8,150736,8,8,8,8,6,6,8,5,5,142705,150736,3800,765,146217,0,10,101,106,0,2,12.64755,0.02,93,2
4548,0,17500,NA,NA,NA,NA,NA,NA,0,0,1,0,25.9,90.9,9.1,3.3,88,33687,33687,26496,26496,604,17,30,17,192006,17,17,17,17,17,17,17,17,17,120731,192006,94725,529,120731,0,237,75,79,80,7,14.92537,0.04,21263,0
5905,0,40000,33,10,14,33,33,0,4,7,16,0,42.5,55.1,44.9,36.5,83,11466,11466,36056,36056,635,9,15,9,144931,9,9,9,9,9,9,9,8,8,126454,144931,37500,1337,126454,0,36,46,52,49,2,9.07441,0,400,0
7903,0,15000,0,-27,-27,0,0,0,2,2,3,0,11.6,11.5,88.5,78.1,89,17998,17998,4742,4742,659,4,12,4,151697,4,4,4,4,4,4,4,3,3,150551,151697,7500,916,150551,0,2,15,13,7,0,23.90057,0,600,0
8239,0,25000,12,-11,6,12,12,0,0,0,6,0,22.5,99.3,0.7,-0.2,84,46101.22,46101.22,5028,5028,512,4,4,4,5633,4,4,4,4,4,4,4,4,3,NA,5633,5550,NA,NA,0,7,101,101,100,1,12.65823,0.18,127,1
9516,0,250000,0,-18,-8,0,0,0,8,17,29,0,62,31.9,68.1,66.8,82,-67302.21,-67302.21,157069,157069,633,6,15,6,1207121,6,6,6,6,6,5,6,6,5,1200965,1207121,2000,754,1200994,0,12,5,7,113,0,6.5445,0.59,1567,0
9986,0,50000,30,14,14,30,30,1,2,3,7,0,12.5,36.1,63.9,59.9,80,54329,54329,68523,68523,633,14,28,14,148404,14,14,14,14,14,14,11,8,8,118575,148404,39500,1348,142521,0,39,14,7,3,1,8.18331,0,4650,0
10088,0,30000,6,-20,-5,6,6,0,6,9,12,0,13,58.5,41.5,41.5,18,67832,67832,87844,87844,543,19,37,19,731627,19,18,18,19,18,18,19,18,18,646877,731627,49950,4891,679515,1,113,72,80,83,3,0,0.37,1733,2
10132,0,30000,0,-21,-21,0,0,0,3,3,3,0,7.1,93.9,6.1,6.1,78,5728,5728,13424,13424,580,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.36921,0.28,NA,NA
10146,0,25000,0,-28,-28,0,0,0,1,2,12,0,99,8.6,91.4,29.2,95,173477,173477,-76481,-76481,603,18,25,18,751920,18,18,18,18,18,17,18,18,16,646519,751920,105570,3374,660616,0,140,85,84,90,8,16.77852,0.03,2366,0
10351,1,50000,0,-18,-7,0,0,0,4,6,12,0,13.9,83.1,16.9,11.8,73,-522,-522,7596,7596,647,2,6,2,350995,2,2,2,2,2,2,2,2,2,350995,350995,3500,1386,350995,0,0,0,0,0,0,6.78426,0,0,0
10762,0,100000,17,-1,16,10,17,0,6,8,17,0,20.4,68.7,31.3,22.9,100,74670,74670,96205,96205,635,5,13,5,84595,5,5,5,5,5,5,5,5,4,78498,84595,1850,753,84596,0,8,0,0,0,0,7.86164,0.56,0,0
11105,0,40000,0,-23,16,0,0,0,6,7,12,0,33.7,99.6,0.4,0.4,87,25307.43,25307.43,31251,31251,535,7,7,7,101452,7,6,4,6,3,3,6,3,3,92994,101452,2950,1097,97955,1,16,94,89,87,2,22.09131,0.02,60,2
11169,0,20000,0,-22,-8,NA,0,0,8,12,19,0,10.1,80.9,19.1,15.7,78,27205,27205,-25482,-25482,637,9,18,9,106096,9,9,9,9,9,8,9,9,8,65275,106096,5550,2426,105621,0,102,8,6,22,0,27.93296,0.15,154,0
11260,0,75000,0,-18,-17,0,0,0,2,2,3,0,8.2,68.8,31.2,30.8,93,10536.87,10536.87,23732,23732,662,9,9,9,217996,9,9,9,9,9,9,9,9,9,199958,217996,14000,918,216736,0,36,9,18,17,0,6.05327,0.03,1336,0
11349,0,34000,0,-18,-17,0,0,0,1,2,4,0,24.4,31.7,68.3,67.8,97,20685,20685,29599,29599,603,3,5,3,15689,3,3,3,3,3,3,2,2,2,NA,15689,20400,NA,NA,1,39,76,78,79,1,0,0,385,0
11362,0,45000,0,-18,47,0,0,0,7,14,22,0,26,52.7,47.3,11.5,89,118945.71,118945.71,88777,88777,614,12,23,12,191603,12,12,12,12,12,12,11,11,11,172209,191603,5300,1040,190845,0,38,0,0,0,0,7.16332,0.46,0,0
11544,0,25000,19,1,65,19,19,0,4,4,4,0,34.7,99.4,0.6,0.6,49,7690.05,7690.05,8784,8784,563,6,10,6,34610,6,6,6,6,6,4,6,6,4,0,34610,19100,488,20667,1,46,28,29,29,1,6.75676,0.27,250,0
11702,1,95000,30,8,8,30,30,1,3,10,10,0,0.3,40.2,59.8,59.8,61,0,0,30472,30472,488,9,13,9,9889,6,6,6,5,3,3,5,2,2,NA,9889,6200,50,1115,3,98,103,102,102,2,0,0,26,0
11930,0,25000,0,-17,5,0,0,0,6,8,13,0,14.3,73.2,26.8,26.8,92,32584.29,32584.29,46464,46464,621,3,12,3,0,3,3,3,3,2,2,3,2,2,0,0,17630,NA,NA,0,0,0,0,34,0,0,0.12,0,0
11969,0,25000,49,33,33,49,49,0,3,3,8,0,6.3,134.8,-34.8,-34.8,83,15288,15288,18899,18899,591,9,15,9,175840,9,9,9,9,9,9,8,8,8,163423,175840,22490,290,163423,0,16,55,54,56,1,7.33138,0.12,278,0
12216,0,30000,4,-13,-1,7,4,0,4,8,11,0,68.8,57.4,42.6,20.6,90,-7120,-7120,40192,40192,629,9,15,9,22904,9,9,9,9,9,9,9,9,8,8834,22904,22400,969,14920,0,18,35,38,44,0,7.96178,0,5197,0
12707,0,40000,25,6,6,23,25,2,15,16,21,0,6.4,81.2,18.8,14.3,78,87517.81,87517.81,-8933,-8933,675,9,14,9,142257,9,9,9,9,9,9,9,9,6,138872,142257,28300,651,138872,0,4,11,6,9,0,6.57895,0.05,899,0
12764,0,60000,0,-20,-14,0,0,0,6,12,26,0,14.1,81.8,18.2,17.7,89,47553.57,47553.57,57013,57013,606,8,14,8,292769,8,8,8,8,8,8,8,8,7,245326,292769,38500,4046,270088,0,94,58,64,73,1,7.83699,0,1580,0
12771,1,40000,0,-25,-25,0,0,0,6,10,20,0,7.2,53,47,24.8,45,54578.13,54578.13,89828,89828,570,4,9,4,5761,4,4,4,4,2,2,4,2,1,NA,5761,5150,NA,NA,0,5,99,79,78,2,0,0.13,199,17
12930,0,50000,10,-2,17,10,10,1,4,10,13,0,30.5,87.1,12.9,8.5,86,77728.51,77728.51,39089,39089,584,2,5,2,0,2,2,2,2,2,2,2,2,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0.31,NA,NA
12959,0,40000,0,-23,40,0,0,0,2,3,16,0,25.5,70.7,29.3,9.1,84,33348,33348,41896,41896,538,8,15,8,253464,8,8,8,7,7,6,7,7,5,220683,253464,33260,1073,221535,2,81,95,92,89,4,14.94768,0.2,1166,1
13056,0,50000,NA,NA,NA,NA,NA,NA,2,3,10,0,100,22.9,77.1,23.8,72,14483,14483,6040,6040,578,12,20,12,275197,12,12,12,12,11,11,12,11,10,237754,275197,27150,2610,254989,0,124,67,60,63,2,9.79432,0.11,1647,1
13099,0,40000,0,-23,5,0,0,0,3,3,7,0,6,80.2,19.8,9.5,90,-7208.69,-7208.69,20489,20489,509,8,15,8,79086,8,8,8,6,6,6,6,6,6,0,79086,37700,1041,43601,0,158,91,90,92,3,7.59878,0.26,442,0
13145,0,30000,20,1,51,20,20,0,4,10,14,0,31.2,54,46,11.7,85,20000,20000,-2017,-2017,586,17,25,17,631589,17,17,17,17,17,17,17,17,16,552029,631589,65800,273045,595172,0,106,55,48,61,4,11.48106,0,4496,0
13208,0,5000,0,-21,-21,0,0,0,1,2,2,0,17.6,94.4,5.6,5.6,80,12857.78,12857.78,6598,6598,595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59631,0.13,NA,NA
